"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\Academics\CGPA\CGPA.dart", "Dart", 145, 310, 14, 469
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\Academics\CGPA\GPA.dart", "Dart", 681, 22, 23, 726
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\Academics\CGPA\Pointer.dart", "Dart", 120, 2, 7, 129
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\Academics\CGPA\Retainer.dart", "Dart", 120, 2, 7, 129
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\Academics\CGPA\input_field.dart", "Dart", 63, 5, 3, 71
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\Academics\CGPA\mainGPA.dart", "Dart", 76, 69, 6, 151
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\Academics\getTiles.dart", "Dart", 69, 2, 4, 75
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\Academics\mainAcademic.dart", "Dart", 50, 5, 3, 58
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\AuthScreen.dart", "Dart", 268, 15, 13, 296
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\Authentication\AuthScreen.dart", "Dart", 267, 16, 13, 296
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\Authentication\models\http_exception.dart", "Dart", 8, 1, 2, 11
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\FinanceModule\mainFinance.dart", "Dart", 112, 22, 11, 145
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\FinanceModule\models\transaction.dart", "Dart", 13, 0, 3, 16
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\FinanceModule\widgets\chart.dart", "Dart", 57, 0, 9, 66
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\FinanceModule\widgets\chart_bar.dart", "Dart", 51, 0, 4, 55
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\FinanceModule\widgets\new_transaction.dart", "Dart", 97, 4, 11, 112
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\FinanceModule\widgets\transaction_list.dart", "Dart", 67, 0, 5, 72
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\dashboard.dart", "Dart", 153, 9, 6, 168
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\firebase_options.dart", "Dart", 70, 12, 6, 88
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\login.dart", "Dart", 243, 14, 12, 269
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\main.dart", "Dart", 66, 3, 7, 76
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\models\http_exception.dart", "Dart", 8, 1, 2, 11
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\screen2.dart", "Dart", 25, 0, 2, 27
"c:\Users\harsh\Personal Flutter Projects\ProjectExhibition2\mybuddytest\lib\testmain.dart", "Dart", 23, 36, 6, 65
"Total", "-", 2852, 550, 179, 3581